jstat打印出来的日志

 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0  0.0    0.0   81920.0  50960.9   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  55961.7   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  60962.4   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  65963.2   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  70964.0   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  75964.8   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  80965.6   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0   1188.6 81920.0   4189.6   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0   9190.4   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  14191.2   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  19192.0   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  24192.7   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  29193.5   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  34194.3   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
